Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1654987471.374566,891,0,0
2,InsertRecord,1654987471.376103,8787,0,0
5,DeleteRecord,1654987471.384903,809,0,0
1,ReadRecord,1654987471.385724,804,0,0
4,UpdateRecord,1654987471.386541,8738,0,0
5,DeleteRecord,1654987471.395292,819,0,0
4,UpdateRecord,1654987471.396123,885,0,0
4,UpdateRecord,1654987471.397020,844,0,0
1,ReadRecord,1654987471.397877,802,0,0
1,ReadRecord,1654987471.398691,782,0,0
4,UpdateRecord,1654987471.399486,6207,0,0
4,UpdateRecord,1654987471.405706,891,0,0
2,InsertRecord,1654987471.406609,9502,0,0
2,InsertRecord,1654987471.416124,10453,0,0
1,ReadRecord,1654987471.426589,913,0,0
5,DeleteRecord,1654987471.427515,9487,0,0
3,ScanRecord,1654987471.437014,970,0,0
1,ReadRecord,1654987471.437997,919,0,0
1,ReadRecord,1654987471.438929,811,0,0
2,InsertRecord,1654987471.439753,7662,0,0
4,UpdateRecord,1654987471.447427,10398,0,0
5,DeleteRecord,1654987471.457838,796,0,0
2,InsertRecord,1654987471.458647,9595,0,0
2,InsertRecord,1654987471.468254,10401,0,0
4,UpdateRecord,1654987471.478667,863,0,0
3,ScanRecord,1654987471.479543,1971,0,0
2,InsertRecord,1654987471.481526,7546,0,0
4,UpdateRecord,1654987471.489085,10476,0,0
3,ScanRecord,1654987471.499574,857,0,0
1,ReadRecord,1654987471.500443,886,0,0
2,InsertRecord,1654987471.501342,8629,0,0
5,DeleteRecord,1654987471.509984,903,0,0
5,DeleteRecord,1654987471.510899,9491,0,0
1,ReadRecord,1654987471.520402,917,0,0
4,UpdateRecord,1654987471.521332,956,0,0
1,ReadRecord,1654987471.522301,882,0,0
2,InsertRecord,1654987471.523195,7547,0,0
2,InsertRecord,1654987471.530754,10464,0,0
4,UpdateRecord,1654987471.541230,860,0,0
2,InsertRecord,1654987471.542102,9537,0,0
3,ScanRecord,1654987471.551652,4629,0,0
5,DeleteRecord,1654987471.556293,5766,0,0
1,ReadRecord,1654987471.562071,840,0,0
4,UpdateRecord,1654987471.562924,9578,0,0
2,InsertRecord,1654987471.572535,10353,0,0
5,DeleteRecord,1654987471.582901,845,0,0
4,UpdateRecord,1654987471.583759,808,0,0
5,DeleteRecord,1654987471.584580,782,0,0
5,DeleteRecord,1654987471.585375,697,0,0
3,ScanRecord,1654987471.586084,743,0,0
5,DeleteRecord,1654987471.586840,16889,0,0
2,InsertRecord,1654987471.603742,10431,0,0
3,ScanRecord,1654987471.614185,994,0,0
4,UpdateRecord,1654987471.615192,904,0,0
5,DeleteRecord,1654987471.616109,8503,0,0
3,ScanRecord,1654987471.624624,6086,0,0
2,InsertRecord,1654987471.630723,4295,0,0
3,ScanRecord,1654987471.635031,2160,0,0
3,ScanRecord,1654987471.637203,797,0,0
1,ReadRecord,1654987471.638013,867,0,0
2,InsertRecord,1654987471.638892,6545,0,0
5,DeleteRecord,1654987471.645450,719,0,0
3,ScanRecord,1654987471.646190,708,0,0
5,DeleteRecord,1654987471.646911,706,0,0
1,ReadRecord,1654987471.647630,714,0,0
4,UpdateRecord,1654987471.648361,7491,0,0
1,ReadRecord,1654987471.655865,750,0,0
4,UpdateRecord,1654987471.656628,840,0,0
4,UpdateRecord,1654987471.657481,8816,0,0
4,UpdateRecord,1654987471.666309,827,0,0
1,ReadRecord,1654987471.667149,764,0,0
5,DeleteRecord,1654987471.667925,577,0,0
3,ScanRecord,1654987471.668531,881,0,0
2,InsertRecord,1654987471.669424,7280,0,0
3,ScanRecord,1654987471.676717,882,0,0
2,InsertRecord,1654987471.677612,9489,0,0
4,UpdateRecord,1654987471.687114,10467,0,0
2,InsertRecord,1654987471.697594,10400,0,0
4,UpdateRecord,1654987471.708006,781,0,0
5,DeleteRecord,1654987471.708801,840,0,0
4,UpdateRecord,1654987471.709653,911,0,0
4,UpdateRecord,1654987471.710577,7837,0,0
3,ScanRecord,1654987471.718426,9157,0,0
2,InsertRecord,1654987471.727596,11666,0,0
1,ReadRecord,1654987471.739275,745,0,0
3,ScanRecord,1654987471.740033,737,0,0
5,DeleteRecord,1654987471.740782,8882,0,0
2,InsertRecord,1654987471.749682,10396,0,0
5,DeleteRecord,1654987471.760091,809,0,0
3,ScanRecord,1654987471.760912,809,0,0
2,InsertRecord,1654987471.761734,8771,0,0
3,ScanRecord,1654987471.770517,889,0,0
5,DeleteRecord,1654987471.771419,703,0,0
2,InsertRecord,1654987471.772134,8845,0,0
4,UpdateRecord,1654987471.780991,903,0,0
1,ReadRecord,1654987471.781907,744,0,0
4,UpdateRecord,1654987471.782663,8733,0,0
3,ScanRecord,1654987471.791409,780,0,0
1,ReadRecord,1654987471.792201,710,0,0
1,ReadRecord,1654987471.792924,658,0,0
1,ReadRecord,1654987471.793594,870,0,0
3,ScanRecord,1654987471.794476,813,0,0
1,ReadRecord,1654987471.795302,720,0,0
1,ReadRecord,1654987471.796035,776,0,0
1,ReadRecord,1654987471.796823,870,0,0
3,ScanRecord,1654987471.797706,915,0,0
2,InsertRecord,1654987471.798634,24022,0,0
3,ScanRecord,1654987471.822668,960,0,0
2,InsertRecord,1654987471.823641,9425,0,0
1,ReadRecord,1654987471.833078,778,0,0
4,UpdateRecord,1654987471.833869,779,0,0
