Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1654988637.333378,7206,0,0
3,ScanRecord,1654988637.340799,7495,0,0
2,InsertRecord,1654988637.348307,37074,0,0
1,ReadRecord,1654988637.385395,7252,0,0
3,ScanRecord,1654988637.392660,7363,0,0
2,InsertRecord,1654988637.400036,27762,0,0
1,ReadRecord,1654988637.427811,6924,0,0
1,ReadRecord,1654988637.434748,5973,0,0
4,UpdateRecord,1654988637.440734,11436,0,0
4,UpdateRecord,1654988637.452183,11359,0,0
1,ReadRecord,1654988637.463554,6167,0,0
5,DeleteRecord,1654988637.469735,4535,0,0
3,ScanRecord,1654988637.474283,7010,0,0
5,DeleteRecord,1654988637.481306,5453,0,0
2,InsertRecord,1654988637.486772,149227,0,0
5,DeleteRecord,1654988637.636012,52160,0,0
5,DeleteRecord,1654988637.688187,5292,0,0
3,ScanRecord,1654988637.693492,6808,0,0
1,ReadRecord,1654988637.700313,5555,0,0
5,DeleteRecord,1654988637.705881,4574,0,0
1,ReadRecord,1654988637.710468,5449,0,0
5,DeleteRecord,1654988637.715930,4441,0,0
2,InsertRecord,1654988637.720383,19879,0,0
5,DeleteRecord,1654988637.740276,4543,0,0
1,ReadRecord,1654988637.744832,5500,0,0
4,UpdateRecord,1654988637.750345,9350,0,0
3,ScanRecord,1654988637.759708,6347,0,0
4,UpdateRecord,1654988637.766072,15862,0,0
3,ScanRecord,1654988637.781948,7124,0,0
2,InsertRecord,1654988637.789085,13709,0,0
5,DeleteRecord,1654988637.802807,4568,0,0
4,UpdateRecord,1654988637.807388,9319,0,0
2,InsertRecord,1654988637.816721,17343,0,0
2,InsertRecord,1654988637.834075,20777,0,0
2,InsertRecord,1654988637.854862,20852,0,0
5,DeleteRecord,1654988637.875727,4609,0,0
1,ReadRecord,1654988637.880349,5638,0,0
4,UpdateRecord,1654988637.886000,8932,0,0
4,UpdateRecord,1654988637.894946,12041,0,0
5,DeleteRecord,1654988637.907000,4327,0,0
2,InsertRecord,1654988637.911340,16493,0,0
5,DeleteRecord,1654988637.927847,4409,0,0
5,DeleteRecord,1654988637.932269,4395,0,0
4,UpdateRecord,1654988637.936678,8729,0,0
5,DeleteRecord,1654988637.945421,13672,0,0
1,ReadRecord,1654988637.959106,5789,0,0
2,InsertRecord,1654988637.964908,14968,0,0
3,ScanRecord,1654988637.979889,6830,0,0
1,ReadRecord,1654988637.986732,5980,0,0
4,UpdateRecord,1654988637.992725,10677,0,0
5,DeleteRecord,1654988638.003416,7744,0,0
4,UpdateRecord,1654988638.011173,10322,0,0
4,UpdateRecord,1654988638.021509,10248,0,0
1,ReadRecord,1654988638.031770,5732,0,0
2,InsertRecord,1654988638.037521,15445,0,0
5,DeleteRecord,1654988638.052979,4690,0,0
1,ReadRecord,1654988638.057683,5864,0,0
3,ScanRecord,1654988638.063559,7880,0,0
1,ReadRecord,1654988638.071453,6014,0,0
3,ScanRecord,1654988638.077480,6455,0,0
4,UpdateRecord,1654988638.083948,8934,0,0
5,DeleteRecord,1654988638.092895,4420,0,0
5,DeleteRecord,1654988638.097328,4430,0,0
3,ScanRecord,1654988638.101771,7321,0,0
4,UpdateRecord,1654988638.109105,10403,0,0
2,InsertRecord,1654988638.119526,16749,0,0
5,DeleteRecord,1654988638.136288,4879,0,0
2,InsertRecord,1654988638.141181,26371,0,0
2,InsertRecord,1654988638.167565,20801,0,0
1,ReadRecord,1654988638.188379,6194,0,0
1,ReadRecord,1654988638.194586,5887,0,0
3,ScanRecord,1654988638.200486,18128,0,0
5,DeleteRecord,1654988638.218638,5693,0,0
4,UpdateRecord,1654988638.224344,10744,0,0
2,InsertRecord,1654988638.235101,15751,0,0
1,ReadRecord,1654988638.250865,6463,0,0
4,UpdateRecord,1654988638.257341,10688,0,0
3,ScanRecord,1654988638.268042,7524,0,0
1,ReadRecord,1654988638.275579,5947,0,0
5,DeleteRecord,1654988638.281539,4909,0,0
2,InsertRecord,1654988638.286462,16540,0,0
3,ScanRecord,1654988638.303015,7390,0,0
5,DeleteRecord,1654988638.310418,4870,0,0
4,UpdateRecord,1654988638.315301,18955,0,0
3,ScanRecord,1654988638.334269,7324,0,0
2,InsertRecord,1654988638.341606,13437,0,0
5,DeleteRecord,1654988638.355057,4914,0,0
1,ReadRecord,1654988638.359984,6072,0,0
2,InsertRecord,1654988638.366069,20327,0,0
3,ScanRecord,1654988638.386409,7407,0,0
5,DeleteRecord,1654988638.393830,4715,0,0
