Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1658946347.600575,16358083,0,0
2,Payment,1658946363.958949,1827480,0,0
2,Payment,1658946365.786459,432068,0,0
1,NewOrder,1658946366.218557,19172600,0,0
1,NewOrder,1658946385.391188,37416554,0,0
1,NewOrder,1658946422.807772,40595394,0,0
2,Payment,1658946463.403197,760930,0,0
2,Payment,1658946464.164159,466190,0,0
1,NewOrder,1658946464.630381,22008667,0,0
2,Payment,1658946486.639080,1355296,0,0
2,Payment,1658946487.994406,1302805,0,0
2,Payment,1658946489.297243,842709,0,0
2,Payment,1658946490.139984,1334693,0,0
5,StockLevel,1658946491.474704,4543330,0,0
1,NewOrder,1658946496.018066,38038877,0,0
1,NewOrder,1658946534.056974,27040905,0,0
5,StockLevel,1658946561.097911,4519975,0,0
2,Payment,1658946565.617919,1293812,0,0
2,Payment,1658946566.911761,1312936,0,0
1,NewOrder,1658946568.224730,13783713,0,0
2,Payment,1658946582.008476,917022,0,0
3,OrderStatus,1658946582.925528,3117238,0,0
1,NewOrder,1658946586.042824,19420658,0,0
1,NewOrder,1658946605.463512,40344019,0,0
1,NewOrder,1658946645.807563,13920199,0,0
2,Payment,1658946659.727794,1324845,0,0
2,Payment,1658946661.052672,447489,0,0
1,NewOrder,1658946661.500221,40187491,0,0
1,NewOrder,1658946701.687756,37614340,0,0
1,NewOrder,1658946739.302128,19026115,0,0
2,Payment,1658946758.328276,1345810,0,0
1,NewOrder,1658946759.674114,14200518,0,0
1,NewOrder,1658946773.874664,21880284,0,0
1,NewOrder,1658946795.754979,34727917,0,0
2,Payment,1658946830.482928,550497,0,0
1,NewOrder,1658946831.033457,19142144,0,0
2,Payment,1658946850.175653,1323777,0,0
2,Payment,1658946851.499461,1313940,0,0
3,OrderStatus,1658946852.813513,3401100,0,0
2,Payment,1658946856.214641,1256675,0,0
2,Payment,1658946857.471348,429051,0,0
1,NewOrder,1658946857.900429,16063868,0,0
5,StockLevel,1658946873.964329,4562234,0,0
1,NewOrder,1658946878.526595,35208445,0,0
2,Payment,1658946913.735073,1334702,0,0
1,NewOrder,1658946915.069805,40011441,0,0
4,Delivery,1658946955.081278,32532920,0,0
2,Payment,1658946987.614233,1124176,0,0
2,Payment,1658946988.738466,842222,0,0
1,NewOrder,1658946989.580719,21599307,0,0
1,NewOrder,1658947011.180060,24173395,0,0
2,Payment,1658947035.353487,439287,0,0
2,Payment,1658947035.792806,1322174,0,0
5,StockLevel,1658947037.115021,4550431,0,0
2,Payment,1658947041.665486,1305332,0,0
2,Payment,1658947042.970848,1083110,0,0
2,Payment,1658947044.053989,1301919,0,0
1,NewOrder,1658947045.355940,18723184,0,0
2,Payment,1658947064.079155,2080381,0,0
2,Payment,1658947066.159567,1297473,0,0
1,NewOrder,1658947067.457072,27120288,0,0
1,NewOrder,1658947094.577388,30019658,0,0
3,OrderStatus,1658947124.597079,2727610,0,0
2,Payment,1658947127.324717,574138,0,0
2,Payment,1658947127.898879,1292648,0,0
1,NewOrder,1658947129.191559,16181823,0,0
2,Payment,1658947145.373414,441632,0,0
4,Delivery,1658947145.815078,32349973,0,0
1,NewOrder,1658947178.165082,16399219,0,0
2,Payment,1658947194.564332,2114731,0,0
2,Payment,1658947196.679094,430685,0,0
2,Payment,1658947197.109810,1446393,0,0
2,Payment,1658947198.556235,1093309,0,0
1,NewOrder,1658947199.649576,16024226,0,0
2,Payment,1658947215.673834,906490,0,0
1,NewOrder,1658947216.580356,13628546,0,0
2,Payment,1658947230.208932,439255,0,0
2,Payment,1658947230.648220,1755732,0,0
2,Payment,1658947232.403983,514093,0,0
2,Payment,1658947232.918106,501546,0,0
2,Payment,1658947233.419684,1345354,0,0
1,NewOrder,1658947234.765070,40518419,0,0
5,StockLevel,1658947275.283530,4528288,0,0
2,Payment,1658947279.811850,1395936,0,0
2,Payment,1658947281.207818,2082553,0,0
2,Payment,1658947283.290464,913330,0,0
2,Payment,1658947284.203827,1397624,0,0
2,Payment,1658947285.601484,428292,0,0
2,Payment,1658947286.029806,2058028,0,0
3,OrderStatus,1658947288.087866,2516640,0,0
2,Payment,1658947290.604535,1332055,0,0
2,Payment,1658947291.936746,1342803,0,0
1,NewOrder,1658947293.279611,23765728,0,0
2,Payment,1658947317.045368,1315211,0,0
1,NewOrder,1658947318.360607,21327160,0,0
4,Delivery,1658947339.687795,31864260,0,0
1,NewOrder,1658947371.552084,39592458,0,0
2,Payment,1658947411.144575,1272579,0,0
5,StockLevel,1658947412.417183,4427856,0,0
1,NewOrder,1658947416.845067,18399222,0,0
1,NewOrder,1658947435.244316,18995561,0,0
2,Payment,1658947454.239904,1324239,0,0
1,NewOrder,1658947455.564172,26683239,0,0
2,Payment,1658947482.247438,1314252,0,0
1,NewOrder,1658947483.561717,28850754,0,0
2,Payment,1658947512.412499,1355191,0,0
1,NewOrder,1658947513.767717,21557177,0,0
2,Payment,1658947535.324922,876008,0,0
