Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1658934175.238110,1701055,0,0
2,Payment,1658934176.939568,718617,0,0
2,Payment,1658934177.658221,739924,0,0
2,Payment,1658934178.398183,764194,0,0
2,Payment,1658934179.162414,527748,0,0
1,NewOrder,1658934179.690199,2978787,0,0
5,StockLevel,1658934182.669022,349608,0,0
1,NewOrder,1658934183.018668,1900559,0,0
1,NewOrder,1658934184.919262,2854611,0,0
1,NewOrder,1658934187.773906,2594373,0,0
1,NewOrder,1658934190.368329,3373657,0,0
2,Payment,1658934193.742024,864700,0,0
2,Payment,1658934194.606760,731273,0,0
2,Payment,1658934195.338071,593638,0,0
2,Payment,1658934195.931745,740005,0,0
2,Payment,1658934196.671781,697858,0,0
2,Payment,1658934197.369677,593836,0,0
1,NewOrder,1658934197.963549,1874910,0,0
1,NewOrder,1658934199.838497,1594163,0,0
1,NewOrder,1658934201.432780,3395894,0,0
4,Delivery,1658934204.828713,6071915,0,0
2,Payment,1658934210.900656,481901,0,0
1,NewOrder,1658934211.382594,3572858,0,0
1,NewOrder,1658934214.955490,2083649,0,0
3,OrderStatus,1658934217.039180,675974,0,0
2,Payment,1658934217.715189,480550,0,0
2,Payment,1658934218.195779,854314,0,0
2,Payment,1658934219.050131,583337,0,0
1,NewOrder,1658934219.633506,2937637,0,0
4,Delivery,1658934222.571180,6384642,0,0
5,StockLevel,1658934228.955863,183578,0,0
2,Payment,1658934229.139483,704000,0,0
2,Payment,1658934229.843525,812676,0,0
1,NewOrder,1658934230.656241,2826576,0,0
5,StockLevel,1658934233.482892,419117,0,0
2,Payment,1658934233.902088,1150585,0,0
1,NewOrder,1658934235.052707,5010517,0,0
2,Payment,1658934240.063283,687941,0,0
1,NewOrder,1658934240.751275,3646458,0,0
2,Payment,1658934244.397777,906465,0,0
2,Payment,1658934245.304287,802427,0,0
2,Payment,1658934246.106759,802141,0,0
2,Payment,1658934246.908942,791758,0,0
1,NewOrder,1658934247.700740,3386511,0,0
2,Payment,1658934251.087292,490040,0,0
2,Payment,1658934251.577373,781183,0,0
1,NewOrder,1658934252.358592,3760932,0,0
2,Payment,1658934256.119565,604470,0,0
5,StockLevel,1658934256.724086,257057,0,0
1,NewOrder,1658934256.981180,3223158,0,0
2,Payment,1658934260.204384,708700,0,0
1,NewOrder,1658934260.913134,4655648,0,0
1,NewOrder,1658934265.568822,5002081,0,0
1,NewOrder,1658934270.570941,4105034,0,0
1,NewOrder,1658934274.676015,2729684,0,0
2,Payment,1658934277.405742,642573,0,0
4,Delivery,1658934278.048352,6868157,0,0
2,Payment,1658934284.916551,575414,0,0
2,Payment,1658934285.492006,864645,0,0
1,NewOrder,1658934286.356693,2395965,0,0
2,Payment,1658934288.752699,625303,0,0
1,NewOrder,1658934289.378044,2906559,0,0
2,Payment,1658934292.284645,906681,0,0
1,NewOrder,1658934293.191369,3688091,0,0
1,NewOrder,1658934296.879501,3417880,0,0
2,Payment,1658934300.297424,667249,0,0
1,NewOrder,1658934300.964715,4448373,0,0
1,NewOrder,1658934305.413128,2646340,0,0
1,NewOrder,1658934308.059510,2289544,0,0
2,Payment,1658934310.349096,753057,0,0
1,NewOrder,1658934311.102195,3166710,0,0
1,NewOrder,1658934314.268948,2459011,0,0
2,Payment,1658934316.728000,906708,0,0
2,Payment,1658934317.634750,812596,0,0
1,NewOrder,1658934318.447389,3114744,0,0
1,NewOrder,1658934321.562173,2823606,0,0
1,NewOrder,1658934324.385823,2937940,0,0
2,Payment,1658934327.323805,573034,0,0
2,Payment,1658934327.896882,937956,0,0
2,Payment,1658934328.834881,489646,0,0
1,NewOrder,1658934329.324570,2271033,0,0
1,NewOrder,1658934331.595644,3219261,0,0
2,Payment,1658934334.814948,708732,0,0
1,NewOrder,1658934335.523721,2364503,0,0
4,Delivery,1658934337.888266,6504689,0,0
1,NewOrder,1658934344.392998,3320262,0,0
4,Delivery,1658934347.713303,6442165,0,0
2,Payment,1658934354.155569,768699,0,0
2,Payment,1658934354.924310,468851,0,0
1,NewOrder,1658934355.393199,2343858,0,0
1,NewOrder,1658934357.737096,1585679,0,0
2,Payment,1658934359.322817,727498,0,0
2,Payment,1658934360.050355,666474,0,0
1,NewOrder,1658934360.716868,3364951,0,0
4,Delivery,1658934364.081861,7003282,0,0
2,Payment,1658934371.085184,1112912,0,0
2,Payment,1658934372.198276,968689,0,0
1,NewOrder,1658934373.167001,4354379,0,0
2,Payment,1658934377.521415,854596,0,0
2,Payment,1658934378.376046,895765,0,0
1,NewOrder,1658934379.271880,2031276,0,0
2,Payment,1658934381.303261,615144,0,0
2,Payment,1658934381.918434,583294,0,0
1,NewOrder,1658934382.501760,3208769,0,0
1,NewOrder,1658934385.710559,1434806,0,0
1,NewOrder,1658934387.145394,2711898,0,0
1,NewOrder,1658934389.857323,3354876,0,0
1,NewOrder,1658934393.212237,3458784,0,0
1,NewOrder,1658934396.671051,2719205,0,0
1,NewOrder,1658934399.390286,2201539,0,0
2,Payment,1658934401.591852,736653,0,0
1,NewOrder,1658934402.328535,2626689,0,0
1,NewOrder,1658934404.955254,3363231,0,0
1,NewOrder,1658934408.318514,3813088,0,0
4,Delivery,1658934412.131631,6139056,0,0
1,NewOrder,1658934418.270717,2273113,0,0
1,NewOrder,1658934420.543860,2235146,0,0
1,NewOrder,1658934422.779036,2708073,0,0
1,NewOrder,1658934425.487137,2533990,0,0
2,Payment,1658934428.021156,500555,0,0
1,NewOrder,1658934428.521737,1947610,0,0
1,NewOrder,1658934430.469374,4167768,0,0
2,Payment,1658934434.637171,865139,0,0
1,NewOrder,1658934435.502335,2489478,0,0
2,Payment,1658934437.991843,719002,0,0
1,NewOrder,1658934438.710869,3282688,0,0
1,NewOrder,1658934441.993587,2396394,0,0
3,OrderStatus,1658934444.390012,535679,0,0
3,OrderStatus,1658934444.925748,823588,0,0
1,NewOrder,1658934445.749360,2703433,0,0
2,Payment,1658934448.452824,700308,0,0
1,NewOrder,1658934449.153162,2550208,0,0
1,NewOrder,1658934451.703399,3324132,0,0
2,Payment,1658934455.027561,750448,0,0
2,Payment,1658934455.778038,500348,0,0
1,NewOrder,1658934456.278419,2541912,0,0
2,Payment,1658934458.820361,698485,0,0
3,OrderStatus,1658934459.518875,576681,0,0
1,NewOrder,1658934460.095582,3705120,0,0
5,StockLevel,1658934463.800731,242748,0,0
1,NewOrder,1658934464.043510,4008214,0,0
1,NewOrder,1658934468.051753,2093998,0,0
2,Payment,1658934470.145783,833740,0,0
1,NewOrder,1658934470.979553,1864805,0,0
2,Payment,1658934472.844389,458815,0,0
2,Payment,1658934473.303234,729324,0,0
1,NewOrder,1658934474.032586,2573163,0,0
1,NewOrder,1658934476.605779,1521393,0,0
1,NewOrder,1658934478.127202,1989899,0,0
2,Payment,1658934480.117133,531709,0,0
2,Payment,1658934480.648877,494974,0,0
1,NewOrder,1658934481.143880,1130182,0,0
5,StockLevel,1658934482.274092,340558,0,0
2,Payment,1658934482.614678,587266,0,0
1,NewOrder,1658934483.201975,1333257,0,0
1,NewOrder,1658934484.535260,1824072,0,0
1,NewOrder,1658934486.359361,2073480,0,0
2,Payment,1658934488.432870,468991,0,0
1,NewOrder,1658934488.901890,1333512,0,0
1,NewOrder,1658934490.235431,1791856,0,0
1,NewOrder,1658934492.027317,1448361,0,0
1,NewOrder,1658934493.475706,1849351,0,0
5,StockLevel,1658934495.325085,222479,0,0
4,Delivery,1658934495.547592,5164107,0,0
2,Payment,1658934500.711728,591852,0,0
1,NewOrder,1658934501.303617,1893975,0,0
2,Payment,1658934503.197674,448546,0,0
1,NewOrder,1658934503.646248,1999997,0,0
2,Payment,1658934505.646275,386020,0,0
3,OrderStatus,1658934506.032326,311834,0,0
1,NewOrder,1658934506.344181,1604960,0,0
5,StockLevel,1658934507.949171,214951,0,0
1,NewOrder,1658934508.164150,1275022,0,0
5,StockLevel,1658934509.439201,158118,0,0
2,Payment,1658934509.597343,561124,0,0
1,NewOrder,1658934510.158495,1635446,0,0
1,NewOrder,1658934511.793971,1396334,0,0
1,NewOrder,1658934513.190334,2438406,0,0
1,NewOrder,1658934515.628773,2021043,0,0
1,NewOrder,1658934517.649845,2125636,0,0
2,Payment,1658934519.775511,458746,0,0
4,Delivery,1658934520.234288,4044802,0,0
4,Delivery,1658934524.279122,4698852,0,0
5,StockLevel,1658934528.978004,161549,0,0
2,Payment,1658934529.139578,504887,0,0
2,Payment,1658934529.644493,395794,0,0
2,Payment,1658934530.040316,854552,0,0
2,Payment,1658934530.894897,427277,0,0
1,NewOrder,1658934531.322202,2219031,0,0
1,NewOrder,1658934533.541262,1604580,0,0
2,Payment,1658934535.145871,500296,0,0
1,NewOrder,1658934535.646195,2834065,0,0
2,Payment,1658934538.480414,499985,0,0
2,Payment,1658934538.980430,635299,0,0
2,Payment,1658934539.615756,770480,0,0
1,NewOrder,1658934540.386265,2887006,0,0
1,NewOrder,1658934543.273299,2094780,0,0
2,Payment,1658934545.368106,438184,0,0
1,NewOrder,1658934545.806319,1593978,0,0
1,NewOrder,1658934547.400327,1938550,0,0
2,Payment,1658934549.338910,469205,0,0
5,StockLevel,1658934549.808144,231255,0,0
1,NewOrder,1658934550.039429,1438177,0,0
2,Payment,1658934551.477633,427563,0,0
2,Payment,1658934551.905242,385483,0,0
1,NewOrder,1658934552.290752,2865519,0,0
2,Payment,1658934555.156303,521358,0,0
1,NewOrder,1658934555.677689,1391400,0,0
2,Payment,1658934557.069120,598899,0,0
1,NewOrder,1658934557.668047,1939715,0,0
2,Payment,1658934559.607790,488094,0,0
2,Payment,1658934560.095914,593855,0,0
5,StockLevel,1658934560.689797,296059,0,0
2,Payment,1658934560.985886,829092,0,0
1,NewOrder,1658934561.815007,2886318,0,0
1,NewOrder,1658934564.701355,1365409,0,0
1,NewOrder,1658934566.066794,1540457,0,0
1,NewOrder,1658934567.607279,2898926,0,0
2,Payment,1658934570.506234,698534,0,0
2,Payment,1658934571.204799,385574,0,0
2,Payment,1658934571.590404,531510,0,0
5,StockLevel,1658934572.121943,199113,0,0
2,Payment,1658934572.321088,696737,0,0
1,NewOrder,1658934573.017854,2886267,0,0
1,NewOrder,1658934575.904152,2063922,0,0
2,Payment,1658934577.968104,615197,0,0
1,NewOrder,1658934578.583328,2542274,0,0
2,Payment,1658934581.125631,458722,0,0
2,Payment,1658934581.584382,541909,0,0
2,Payment,1658934582.126324,510513,0,0
2,Payment,1658934582.636864,416673,0,0
2,Payment,1658934583.053572,486740,0,0
1,NewOrder,1658934583.540341,1659153,0,0
2,Payment,1658934585.199524,594520,0,0
1,NewOrder,1658934585.794071,1604498,0,0
1,NewOrder,1658934587.398598,1896646,0,0
2,Payment,1658934589.295275,563011,0,0
2,Payment,1658934589.858315,510345,0,0
1,NewOrder,1658934590.368689,1625186,0,0
1,NewOrder,1658934591.993905,2198784,0,0
4,Delivery,1658934594.192724,4439152,0,0
3,OrderStatus,1658934598.631904,359663,0,0
1,NewOrder,1658934598.991589,1799196,0,0
2,Payment,1658934600.790814,594992,0,0
1,NewOrder,1658934601.385835,1679705,0,0
2,Payment,1658934603.065569,477014,0,0
2,Payment,1658934603.542611,604469,0,0
2,Payment,1658934604.147108,396019,0,0
2,Payment,1658934604.543154,521055,0,0
4,Delivery,1658934605.064244,4154800,0,0
2,Payment,1658934609.219074,440683,0,0
4,Delivery,1658934609.659783,3978160,0,0
2,Payment,1658934613.637971,586328,0,0
2,Payment,1658934614.224328,364674,0,0
2,Payment,1658934614.589032,510653,0,0
2,Payment,1658934615.099715,689438,0,0
2,Payment,1658934615.789251,592634,0,0
5,StockLevel,1658934616.381907,171888,0,0
1,NewOrder,1658934616.553818,2504667,0,0
4,Delivery,1658934619.058509,4939699,0,0
2,Payment,1658934623.998231,399582,0,0
5,StockLevel,1658934624.397834,198400,0,0
1,NewOrder,1658934624.596252,1572893,0,0
2,Payment,1658934626.169169,552700,0,0
1,NewOrder,1658934626.721890,1551927,0,0
2,Payment,1658934628.273840,448562,0,0
3,OrderStatus,1658934628.722424,218243,0,0
2,Payment,1658934628.940684,469422,0,0
1,NewOrder,1658934629.410128,1125055,0,0
2,Payment,1658934630.535204,573721,0,0
2,Payment,1658934631.108948,538830,0,0
4,Delivery,1658934631.647801,3781983,0,0
5,StockLevel,1658934635.429808,203823,0,0
2,Payment,1658934635.633655,508301,0,0
1,NewOrder,1658934636.141979,2729542,0,0
2,Payment,1658934638.871544,552767,0,0
2,Payment,1658934639.424334,604452,0,0
1,NewOrder,1658934640.028807,1520764,0,0
1,NewOrder,1658934641.549590,2188169,0,0
1,NewOrder,1658934643.737782,1844463,0,0
5,StockLevel,1658934645.582267,229487,0,0
2,Payment,1658934645.811777,489715,0,0
2,Payment,1658934646.301513,614689,0,0
2,Payment,1658934646.916224,698074,0,0
2,Payment,1658934647.614320,677155,0,0
2,Payment,1658934648.291498,645838,0,0
3,OrderStatus,1658934648.937359,409877,0,0
1,NewOrder,1658934649.347253,2139179,0,0
1,NewOrder,1658934651.486451,2485261,0,0
4,Delivery,1658934653.971735,4465847,0,0
5,StockLevel,1658934658.437605,239259,0,0
4,Delivery,1658934658.676877,3866650,0,0
2,Payment,1658934662.543550,577383,0,0
1,NewOrder,1658934663.120956,2041435,0,0
1,NewOrder,1658934665.162413,1260765,0,0
1,NewOrder,1658934666.423201,955863,0,0
2,Payment,1658934667.379086,815643,0,0
2,Payment,1658934668.194752,677275,0,0
2,Payment,1658934668.872049,666579,0,0
1,NewOrder,1658934669.538647,1948362,0,0
5,StockLevel,1658934671.487031,197265,0,0
2,Payment,1658934671.684318,459250,0,0
3,OrderStatus,1658934672.143590,308166,0,0
2,Payment,1658934672.451776,694786,0,0
1,NewOrder,1658934673.146583,2696692,0,0
2,Payment,1658934675.843298,417799,0,0
5,StockLevel,1658934676.261119,203029,0,0
2,Payment,1658934676.464166,473430,0,0
5,StockLevel,1658934676.937619,207041,0,0
4,Delivery,1658934677.144682,3936922,0,0
1,NewOrder,1658934681.081627,2451849,0,0
2,Payment,1658934683.533498,532016,0,0
1,NewOrder,1658934684.065538,2176968,0,0
1,NewOrder,1658934686.242529,1052428,0,0
2,Payment,1658934687.294980,354323,0,0
2,Payment,1658934687.649324,573117,0,0
1,NewOrder,1658934688.222464,3032446,0,0
1,NewOrder,1658934691.254933,2125745,0,0
4,Delivery,1658934693.380701,4008183,0,0
2,Payment,1658934697.388907,556360,0,0
2,Payment,1658934697.945290,468629,0,0
1,NewOrder,1658934698.413941,1781371,0,0
2,Payment,1658934700.195334,417272,0,0
1,NewOrder,1658934700.612627,1291756,0,0
